0;6
1;21;40
2;6;83
3;59;88;30
4;65;57
5;74;37
6;0;2
7;35;44
8;89;49
9;67;78
10;92;98
11;91;66
12;80;91
13;96;31
14;95;68
15;54;77
16;50;92;97
17;68;45
18;43;23
19;42;29
20;51;64
21;69;1;75
22;52;61;26
23;18;62
24;46;81;25
25;24;82
26;22;79
27;70;52;84;86
28;73;95
29;19;90
30;3
31;13;72
32;91
33;38
34;92;39
35;38;7
36;43
37;5;71
38;78;35;33
39;34;93
40;1;54
41;85
42;94;19
43;57;18;36
44;7;51
45;17;99
46;98;24
47;63;50
48;60
49;8;80
50;47;16
51;44;20
52;27;22;76
53;71;69
54;40;15
55;84
56;63
57;4;43
58;77;65
59;87;3
60;64;74;48
61;22
62;23;73
63;72;47;56
64;20;60
65;58;4
66;11;96
67;90;9
68;14;17
69;53;21
70;88;27
71;37;53
72;31;63
73;62;28
74;60;5
75;21
76;52
77;15;58
78;9;38
79;26
80;49;12
81;24
82;25;87
83;2;94
84;27;55
85;89;41
86;27
87;82;59
88;3;70
89;99;85;8
90;29;67
91;12;32;11
92;16;34;10
93;39
94;83;42
95;28;14
96;66;13
97;16
98;10;46
99;45;89
