source;target;label
0;20;94.11
0;23;66.48
0;24;61.50
0;26;23.93
0;30;60.49
0;33;72.13
0;34;11.82
0;42;12.58
0;47;31.12
0;48;32.00
0;49;61.77
0;54;53.13
0;57;59.13
0;61;29.48
0;64;79.21
0;67;79.57
0;68;79.55
0;70;8.44
0;74;1.05
0;80;9.34
0;84;69.42
0;87;1.31
0;91;35.08
0;93;26.62
0;94;92.43
0;99;83.55
0;7;63.74
0;9;96.08
0;11;57.34
0;12;53.58
0;15;74.56
0;19;84.79
0;25;30.16
0;28;45.16
0;29;4.74
0;31;92.72
0;37;79.48
0;39;41.94
0;41;28.06
0;45;18.23
0;51;1.44
0;56;77.92
0;69;31.11
0;72;13.69
0;73;66.31
0;76;76.41
0;85;22.74
0;86;18.95
0;95;52.22
0;96;100.70
0;98;95.90
1;3;95.12
1;4;83.18
1;5;64.39
1;11;14.11
1;13;19.92
1;16;68.38
1;18;76.34
1;23;26.19
1;25;47.03
1;27;47.57
1;28;76.29
1;29;22.39
1;32;76.88
1;34;83.42
1;36;50.32
1;42;32.66
1;43;33.61
1;50;6.07
1;53;2.68
1;55;33.40
1;58;94.23
1;61;6.93
1;67;100.03
1;72;73.04
1;74;69.77
1;77;99.75
1;79;97.39
1;85;48.78
1;87;95.41
1;93;15.10
1;97;1.38
1;98;66.58
1;99;46.79
1;6;71.24
1;8;25.40
1;30;95.34
1;35;63.22
1;40;69.10
1;45;44.13
1;48;81.88
1;51;24.79
1;54;92.12
1;56;59.92
1;64;28.25
1;66;100.28
1;68;52.40
1;76;52.88
1;78;45.38
1;80;55.16
1;83;14.25
1;88;97.63
1;95;87.76
2;5;85.31
2;6;43.10
2;12;95.19
2;14;42.65
2;16;20.65
2;30;73.35
2;36;86.28
2;37;94.47
2;45;25.32
2;46;62.24
2;57;83.43
2;59;9.89
2;60;6.12
2;61;98.46
2;63;83.84
2;65;92.60
2;67;29.36
2;68;64.05
2;75;2.19
2;76;37.79
2;79;37.80
2;84;5.85
2;85;93.24
2;87;76.24
2;92;53.97
2;93;59.29
2;96;17.72
2;98;35.07
2;8;53.88
2;9;80.72
2;19;41.89
2;22;58.31
2;23;95.99
2;27;87.58
2;28;51.05
2;33;24.03
2;40;94.52
2;41;75.41
2;42;100.19
2;47;66.91
2;50;32.91
2;56;79.76
2;62;21.59
2;72;65.18
2;74;23.97
2;78;77.45
2;81;57.97
2;89;78.92
3;1;95.12
3;4;36.22
3;9;76.36
3;10;92.63
3;12;33.46
3;13;22.72
3;14;26.17
3;15;3.32
3;19;25.55
3;21;8.15
3;23;93.09
3;30;75.56
3;39;93.12
3;41;12.71
3;42;81.13
3;46;72.57
3;53;29.68
3;61;17.28
3;63;49.46
3;76;74.32
3;82;43.64
3;84;3.35
3;87;71.13
3;90;65.89
3;94;59.64
3;95;33.20
3;98;1.52
3;6;76.85
3;29;33.91
3;32;71.27
3;34;77.17
3;37;47.47
3;44;9.36
3;45;85.83
3;55;44.66
3;60;25.06
3;64;66.91
3;67;11.74
3;73;27.92
3;77;74.45
3;79;39.46
3;83;99.64
3;86;77.62
3;89;20.01
3;92;42.26
3;93;24.60
4;1;83.18
4;3;36.22
4;6;11.20
4;8;23.79
4;9;39.24
4;11;78.29
4;13;43.61
4;14;43.97
4;17;8.77
4;22;22.61
4;24;30.02
