source;target;label
0;6;8.61
1;5;9.55
1;2;1.07
2;7;8.05
2;1;1.07
3;9;14.75
3;4;10.61
3;11;10.27
3;6;6.60
4;3;10.61
5;11;10.58
5;1;9.55
6;0;8.61
6;3;6.60
6;10;5.62
7;2;8.05
7;19;6.96
8;11;18.01
9;3;14.75
9;32;9.71
10;6;5.62
11;8;18.01
11;5;10.58
11;3;10.27
12;17;24.25
12;23;10.23
13;39;5.26
14;28;10.20
15;22;2.99
16;23;27.90
17;12;24.25
18;25;17.80
18;22;15.96
19;7;6.96
19;30;5.55
20;23;9.02
20;41;4.76
21;33;13.64
21;31;13.37
22;18;15.96
22;15;2.99
23;16;27.90
23;12;10.23
23;20;9.02
23;30;6.08
23;25;2.38
23;38;1.23
24;25;3.07
25;18;17.80
25;24;3.07
25;23;2.38
26;61;14.87
26;40;2.31
27;45;14.77
28;38;18.85
28;14;10.20
29;31;5.18
29;37;4.64
29;45;4.43
30;23;6.08
30;19;5.55
31;51;31.56
31;21;13.37
31;29;5.18
32;9;9.71
32;40;6.05
32;57;3.89
33;43;16.17
33;21;13.64
34;55;18.37
34;89;8.19
34;40;5.97
35;49;5.27
35;38;3.65
36;51;24.26
37;54;5.58
37;29;4.64
38;28;18.85
38;39;12.37
38;35;3.65
38;23;1.23
39;38;12.37
39;45;8.75
39;48;6.42
39;13;5.26
40;32;6.05
40;34;5.97
40;26;2.31
41;20;4.76
42;44;9.06
43;33;16.17
44;69;22.26
44;46;11.19
44;42;9.06
44;45;5.95
45;27;14.77
45;39;8.75
45;44;5.95
45;29;4.43
46;44;11.19
47;55;32.73
48;39;6.42
49;35;5.27
50;60;12.11
51;31;31.56
51;36;24.26
52;68;2.00
53;61;14.91
54;74;12.02
54;37;5.58
55;47;32.73
55;34;18.37
55;58;8.74
56;71;18.30
56;59;12.77
57;75;14.71
57;32;3.89
57;59;1.28
58;55;8.74
59;60;19.94
59;56;12.77
59;63;3.36
59;57;1.28
60;59;19.94
60;50;12.11
61;53;14.91
61;26;14.87
62;92;17.82
62;67;7.25
62;65;2.42
63;81;16.93
63;59;3.36
64;69;23.32
65;62;2.42
66;68;11.52
66;75;6.10
67;62;7.25
67;75;5.24
68;66;11.52
68;72;10.73
68;52;2.00
69;64;23.32
69;44;22.26
70;75;26.19
70;79;23.39
71;56;18.30
72;68;10.73
73;98;13.05
73;83;11.51
73;78;1.19
74;54;12.02
75;70;26.19
75;57;14.71
75;66;6.10
75;67;5.24
76;77;14.58
77;88;17.00
77;76;14.58
77;78;3.03
78;77;3.03
78;73;1.19
79;70;23.39
80;99;26.77
80;85;25.31
80;96;18.73
80;89;3.73
81;93;29.29
81;63;16.93
82;89;14.41
83;87;19.32
83;73;11.51
83;90;4.76
84;86;40.19
85;80;25.31
86;84;40.19
86;88;12.70
87;94;22.99
87;83;19.32
88;91;18.70
88;77;17.00
88;86;12.70
89;82;14.41
89;34;8.19
89;90;7.68
89;80;3.73
90;89;7.68
90;83;4.76
91;88;18.70
92;95;23.10
92;62;17.82
93;81;29.29
94;97;23.30
94;87;22.99
95;92;23.10
96;80;18.73
97;94;23.30
98;73;13.05
99;80;26.77
