source;target;label
0;11;2.77
0;4;3.41
0;10;5.41
1;4;7.10
1;6;2.46
2;3;30.60
3;9;21.70
3;18;18.95
3;2;30.60
4;0;3.41
4;1;7.10
5;10;8.59
6;1;2.46
7;8;8.54
7;9;8.39
8;10;8.72
8;7;8.54
8;21;13.50
9;7;8.39
9;3;21.70
10;0;5.41
10;5;8.59
10;8;8.72
11;0;2.77
12;21;5.79
12;22;5.10
13;29;21.02
14;15;24.03
14;23;28.10
14;26;34.92
15;21;3.59
15;14;24.03
16;18;32.92
17;25;24.88
18;3;18.95
18;16;32.92
19;21;1.82
19;29;10.59
20;25;14.17
20;28;27.54
21;8;13.50
21;19;1.82
21;15;3.59
21;12;5.79
21;27;6.58
22;12;5.10
23;14;28.10
24;25;2.67
25;27;13.92
25;24;2.67
25;20;14.17
25;17;24.88
26;14;34.92
27;21;6.58
27;25;13.92
28;20;27.54
29;19;10.59
29;13;21.02
