source;target;label
0;10;3.86
1;16;1.18
1;2;2.32
1;8;10.69
2;1;2.32
2;7;9.63
2;14;12.87
3;4;7.70
4;9;5.21
4;3;7.70
4;21;15.24
5;7;5.70
6;9;15.57
7;13;3.66
7;5;5.70
7;2;9.63
7;9;10.14
8;1;10.69
9;4;5.21
9;7;10.14
9;6;15.57
9;12;18.32
10;0;3.86
10;37;5.47
11;13;21.90
12;9;18.32
13;17;2.07
13;7;3.66
13;11;21.90
14;2;12.87
15;32;2.01
15;27;3.27
15;34;6.11
16;1;1.18
16;29;5.74
16;35;8.48
16;59;8.68
17;13;2.07
17;31;2.07
17;18;11.44
18;22;3.03
18;33;3.19
18;17;11.44
19;46;9.13
20;85;10.40
21;4;15.24
22;18;3.03
22;26;11.04
23;40;13.15
24;33;5.02
25;26;6.15
26;25;6.15
26;22;11.04
27;15;3.27
28;36;2.90
29;16;5.74
30;34;13.42
31;17;2.07
31;67;6.65
31;32;8.91
32;15;2.01
32;31;8.91
33;18;3.19
33;24;5.02
34;15;6.11
34;30;13.42
35;16;8.48
36;41;2.83
36;28;2.90
36;65;8.51
37;42;1.21
37;45;5.16
37;10;5.47
37;51;6.95
38;41;10.55
39;40;4.51
39;45;5.82
40;39;4.51
40;23;13.15
41;36;2.83
41;61;8.52
41;38;10.55
42;37;1.21
42;64;6.84
43;48;5.58
43;61;9.51
44;58;5.63
45;37;5.16
45;39;5.82
45;77;5.91
45;55;10.18
46;19;9.13
46;52;13.82
47;49;22.00
48;43;5.58
48;51;12.54
49;55;8.59
49;47;22.00
50;53;8.51
51;37;6.95
51;85;9.34
51;48;12.54
52;60;3.13
52;62;7.04
52;46;13.82
53;58;6.80
53;50;8.51
53;63;8.65
54;62;7.79
55;49;8.59
55;45;10.18
56;60;12.77
57;60;2.24
57;78;7.20
57;66;7.70
58;75;2.54
58;44;5.63
58;53;6.80
59;73;1.16
59;16;8.68
60;57;2.24
60;52;3.13
60;56;12.77
61;41;8.52
61;43;9.51
62;52;7.04
62;54;7.79
62;94;11.01
63;53;8.65
63;64;10.01
64;42;6.84
64;63;10.01
65;36;8.51
66;104;5.52
66;57;7.70
67;31;6.65
67;79;10.70
68;78;19.25
69;72;4.36
69;70;9.50
69;92;11.93
70;71;1.92
70;100;8.49
70;69;9.50
71;70;1.92
71;73;2.78
71;91;5.33
72;69;4.36
73;59;1.16
73;71;2.78
73;75;4.53
73;80;13.35
74;93;8.55
75;58;2.54
75;73;4.53
76;80;1.33
76;133;13.49
77;83;3.85
77;45;5.91
78;57;7.20
78;89;7.29
78;68;19.25
79;81;6.74
79;67;10.70
80;76;1.33
80;73;13.35
81;79;6.74
82;93;17.50
83;77;3.85
84;91;2.78
84;87;3.75
85;51;9.34
85;20;10.40
86;129;5.89
86;147;10.02
87;90;3.06
87;84;3.75
88;97;3.48
89;96;5.78
89;78;7.29
89;101;11.89
90;87;3.06
90;96;7.24
91;84;2.78
91;71;5.33
92;69;11.93
93;94;4.38
93;74;8.55
93;82;17.50
94;93;4.38
94;97;9.70
94;62;11.01
94;118;20.30
94;95;21.02
95;94;21.02
96;89;5.78
96;90;7.24
97;88;3.48
97;94;9.70
98;106;2.26
98;108;18.12
98;129;24.23
99;100;9.24
99;110;12.40
100;70;8.49
100;99;9.24
101;89;11.89
101;117;25.72
102;112;5.51
103;124;16.46
104;66;5.52
105;109;19.85
