source;target;label
0;42;34.19
0;65;20.22
1;86;59.80
1;79;51.57
2;99;21.36
2;12;19.11
3;59;28.82
3;69;2.06
4;48;25.80
5;83;81.12
6;99;26.12
7;13;13.77
7;12;8.46
7;87;2.71
8;14;26.42
8;67;6.80
9;59;28.19
10;47;24.18
10;64;16.85
10;19;9.19
10;30;2.44
10;23;1.22
11;35;52.18
12;50;38.82
12;72;24.20
12;58;19.45
12;2;19.11
12;37;13.26
12;7;8.46
12;65;3.88
13;51;23.35
13;7;13.77
14;8;26.42
14;39;7.86
15;52;20.30
16;62;33.67
17;52;11.05
17;82;8.19
18;66;57.71
18;91;57.60
18;71;30.03
19;10;9.19
20;81;37.40
20;99;26.19
21;32;26.39
21;77;12.69
21;65;2.07
22;53;57.98
23;43;20.91
23;10;1.22
24;39;21.15
25;28;33.32
25;65;29.61
25;63;17.17
26;65;7.83
27;57;30.65
27;80;1.98
28;25;33.32
29;57;19.78
30;10;2.44
31;61;36.23
31;47;28.42
32;21;26.39
32;75;24.89
32;88;22.85
33;86;14.93
35;11;52.18
35;58;19.45
36;59;1.84
37;73;28.08
37;12;13.26
38;57;28.86
38;59;8.90
39;24;21.15
39;56;16.90
39;14;7.86
40;94;29.01
40;44;28.32
41;67;30.26
42;0;34.19
43;23;20.91
43;54;19.26
44;40;28.32
44;98;22.46
44;75;22.00
45;59;11.53
46;61;30.83
46;53;19.93
47;31;28.42
47;10;24.18
48;4;25.80
48;65;23.56
49;76;90.78
49;99;22.10
50;12;38.82
50;78;27.34
51;13;23.35
52;15;20.30
52;17;11.05
52;57;10.45
53;22;57.98
53;46;19.93
54;43;19.26
54;79;13.83
54;59;10.70
55;82;58.90
56;39;16.90
57;27;30.65
57;38;28.86
57;29;19.78
57;52;10.45
58;12;19.45
58;35;19.45
58;68;7.62
59;93;56.39
59;3;28.82
59;9;28.19
59;75;17.02
59;45;11.53
59;54;10.70
59;38;8.90
59;36;1.84
60;99;2.25
61;31;36.23
61;46;30.83
62;16;33.67
62;99;4.28
63;25;17.17
64;10;16.85
65;83;36.82
65;84;35.57
65;25;29.61
65;48;23.56
65;0;20.22
65;26;7.83
65;12;3.88
65;21;2.07
66;18;57.71
66;96;33.52
67;41;30.26
67;87;12.49
67;8;6.80
68;90;34.96
68;58;7.62
69;3;2.06
70;79;22.03
70;95;9.45
71;18;30.03
71;89;15.10
72;12;24.20
73;37;28.08
74;87;17.62
75;92;74.02
75;32;24.89
75;44;22.00
75;91;19.30
75;59;17.02
76;49;90.78
77;21;12.69
78;50;27.34
79;1;51.57
79;70;22.03
79;54;13.83
80;27;1.98
81;20;37.40
82;55;58.90
82;17;8.19
83;5;81.12
83;65;36.82
83;85;31.87
84;65;35.57
85;83;31.87
86;1;59.80
86;33;14.93
87;74;17.62
87;67;12.49
87;7;2.71
88;32;22.85
89;71;15.10
90;68;34.96
91;18;57.60
91;75;19.30
92;75;74.02
93;59;56.39
94;40;29.01
94;97;10.34
95;70;9.45
96;66;33.52
97;94;10.34
98;44;22.46
99;20;26.19
99;6;26.12
99;49;22.10
99;2;21.36
99;62;4.28
99;60;2.25
