source;target;label
0;156;53.76
0;283;73.37
0;211;21.73
0;239;19.65
1;103;51.94
1;428;80.27
1;365;32.64
1;333;82.18
1;445;72.02
1;309;54.00
2;374;46.08
2;469;68.04
3;396;82.87
3;70;76.42
3;428;72.42
4;462;15.01
4;260;38.54
4;424;9.20
5;246;61.50
5;242;33.27
5;240;96.30
6;345;60.80
6;408;92.13
6;188;25.12
7;135;22.62
7;492;62.28
8;206;76.24
8;420;78.15
8;403;10.22
8;342;7.52
8;107;23.44
10;464;76.34
10;494;72.09
10;453;44.73
11;272;12.02
11;462;74.56
11;203;61.44
11;59;2.42
11;367;3.68
11;245;98.91
11;42;90.76
11;387;95.50
11;317;20.93
12;177;68.05
13;383;87.52
14;327;84.77
14;80;78.68
15;72;78.38
15;397;29.27
15;295;56.61
15;216;24.01
15;53;60.33
15;293;46.70
16;252;48.87
16;154;92.53
16;58;91.61
17;54;69.67
17;312;73.36
17;472;33.05
17;395;49.21
18;296;18.27
18;399;76.16
18;494;87.99
18;470;91.71
18;387;8.53
18;157;32.29
18;192;41.84
19;167;90.38
19;461;51.00
19;303;93.59
19;289;66.39
19;369;69.06
19;149;68.86
20;251;95.12
20;400;98.18
20;81;70.52
20;459;52.33
20;183;78.94
20;77;80.84
20;82;40.08
21;421;95.86
21;498;11.90
21;307;93.08
22;164;6.09
23;85;35.67
23;147;58.82
24;170;61.72
24;200;41.02
24;424;16.51
24;455;21.51
25;54;28.32
25;440;7.48
26;171;68.57
26;64;70.00
27;130;97.95
27;184;28.44
27;391;68.20
27;53;72.77
28;85;48.85
28;426;72.72
28;307;89.30
28;50;79.82
28;405;23.30
29;293;13.54
30;468;26.36
30;301;24.30
30;193;51.28
30;277;100.31
30;225;84.37
31;392;86.36
31;321;81.19
31;445;82.21
32;417;86.30
32;342;6.45
33;87;4.77
33;425;35.72
33;431;44.56
34;39;44.11
34;460;66.98
35;183;77.71
35;363;79.11
35;162;53.36
35;444;45.75
36;473;90.78
36;85;42.17
36;256;85.75
38;285;71.66
38;42;48.00
38;77;27.05
38;292;38.42
38;344;32.67
38;377;100.70
38;242;96.88
39;147;35.86
39;34;44.11
39;289;75.55
39;442;84.69
40;46;68.12
40;422;71.39
41;181;72.15
41;144;7.91
41;147;22.95
42;38;48.00
42;11;90.76
43;255;37.21
43;72;66.01
44;325;5.50
45;146;5.23
45;181;40.26
45;488;52.99
46;73;87.35
46;40;68.12
47;278;75.22
47;224;35.29
47;75;77.95
48;327;57.18
48;432;59.74
49;297;6.16
49;129;49.09
49;403;52.57
50;187;36.61
50;371;91.85
50;28;79.82
51;479;80.91
53;144;40.89
53;154;34.74
53;133;84.46
53;117;77.91
53;15;60.33
53;263;7.14
53;98;14.62
53;27;72.77
54;17;69.67
54;265;23.16
54;362;61.60
54;25;28.32
54;249;87.04
55;228;17.93
55;92;70.32
55;298;25.59
55;288;30.80
56;108;39.38
56;149;83.62
56;232;75.72
56;470;31.38
57;429;79.28
57;486;91.81
57;377;75.14
57;402;14.81
58;16;91.61
58;283;80.92
59;475;40.43
59;387;67.90
59;11;2.42
59;132;69.43
59;307;43.49
60;295;98.87
60;269;99.01
61;414;85.98
61;348;28.14
61;480;10.19
62;458;83.45
62;269;91.22
63;299;42.46
63;211;21.35
63;222;2.42
64;282;83.77
64;358;97.19
64;26;70.00
64;499;52.84
64;314;21.04
64;263;23.12
65;420;77.60
65;119;54.14
65;396;28.64
65;428;79.93
65;495;61.67
66;356;43.93
66;83;99.81
66;309;28.99
67;464;47.39
68;243;52.90
69;282;62.76
69;199;55.24
70;3;76.42
70;175;22.33
71;410;70.70
71;483;39.94
72;15;78.38
72;231;47.24
72;382;19.91
72;43;66.01
72;356;48.32
73;46;87.35
73;103;95.03
74;154;72.66
74;207;58.91
74;420;22.88
74;182;80.52
74;85;66.20
74;413;55.72
75;115;12.21
75;467;30.35
75;259;11.34
75;47;77.95
76;91;31.50
77;493;73.69
77;409;83.38
77;38;27.05
77;263;64.28
77;218;11.03
77;20;80.84
77;171;33.69
77;217;55.01
79;332;51.13
80;14;78.68
80;197;24.18
80;138;71.93
80;161;96.87
81;283;67.26
81;20;70.52
81;321;76.14
82;146;88.58
82;184;97.19
82;368;21.82
82;348;48.49
82;20;40.08
83;66;99.81
83;438;90.77
83;338;78.38
83;367;99.46
83;108;29.51
83;127;10.27
84;202;42.41
84;154;56.71
85;28;48.85
85;458;49.22
85;23;35.67
85;36;42.17
85;189;3.96
85;99;99.36
85;74;66.20
85;465;30.75
86;324;12.26
86;496;95.19
87;365;90.37
87;33;4.77
87;148;14.85
88;193;80.16
89;174;85.16
89;340;81.77
89;336;46.45
89;142;53.28
91;134;1.19
91;445;64.46
91;306;61.54
91;300;42.40
91;76;31.50
92;55;70.32
92;124;51.12
92;294;39.67
92;379;91.99
92;312;100.09
93;335;21.92
93;324;10.18
94;172;21.41
94;254;2.71
94;98;94.37
95;466;24.93
95;432;69.33
95;108;35.45
96;136;45.54
96;375;43.99
96;328;43.65
97;439;34.67
97;101;76.16
98;53;14.62
98;94;94.37
98;291;100.74
99;474;87.02
99;198;84.80
99;224;30.79
99;85;99.36
100;365;38.75
100;140;43.71
100;280;49.96
100;448;75.35
100;185;91.80
100;159;90.98
101;389;44.69
101;332;58.85
101;97;76.16
102;225;57.18
102;267;11.02
102;171;12.62
102;180;13.89
103;1;51.94
103;337;85.10
103;476;27.82
103;73;95.03
104;424;87.11
104;124;43.95
105;227;69.56
105;291;97.25
105;386;53.59
105;483;4.71
106;114;80.00
106;286;17.75
107;373;20.00
107;212;11.13
107;152;17.16
107;8;23.44
107;202;24.32
107;223;28.40
108;56;39.38
108;411;92.62
108;184;11.44
108;352;38.94
108;95;35.45
108;83;29.51
109;382;8.94
109;428;74.26
109;165;7.54
109;466;76.89
110;469;85.30
110;448;83.98
110;434;95.26
110;265;50.43
111;447;89.93
113;396;72.50
113;180;53.21
114;106;80.00
114;217;68.61
115;192;36.64
115;267;85.81
115;438;69.26
115;75;12.21
115;310;5.36
115;358;28.70
116;194;48.48
117;53;77.91
118;287;89.89
119;65;54.14
119;267;96.61
119;162;50.95
119;122;100.03
120;212;28.96
120;388;31.62
120;221;6.25
120;358;76.36
121;454;35.71
121;375;23.79
122;294;8.31
122;439;43.65
122;491;81.85
122;438;81.79
122;432;35.92
122;119;100.03
122;322;72.95
122;204;77.69
123;146;53.16
123;404;86.65
124;209;90.43
124;92;51.12
124;196;68.93
124;104;43.95
125;496;79.36
125;223;42.09
125;266;50.19
125;232;96.82
125;264;83.91
125;236;71.50
126;337;54.85
126;310;27.41
126;235;13.19
127;494;55.36
127;83;10.27
128;398;91.98
128;369;68.08
128;186;63.51
129;297;6.78
129;49;49.09
130;27;97.95
131;418;64.05
131;474;93.41
131;421;57.12
131;268;4.57
132;430;63.91
132;59;69.43
132;375;96.75
133;484;75.30
133;53;84.46
133;351;29.22
133;188;88.43
134;91;1.19
134;448;68.40
134;431;16.73
135;7;22.62
135;445;10.55
135;222;88.68
136;481;77.24
136;269;26.17
136;96;45.54
136;370;54.00
137;307;26.64
137;138;98.30
138;284;30.14
138;270;11.77
138;137;98.30
138;497;45.79
138;80;71.93
139;374;85.90
139;391;23.54
