source;target;label
0;239;19.65
0;211;21.73
0;156;53.76
1;365;32.64
1;103;51.94
2;374;46.08
3;428;72.42
4;424;9.20
4;462;15.01
4;260;38.54
5;242;33.27
5;246;61.50
5;240;96.30
6;188;25.12
7;135;22.62
8;342;7.52
8;403;10.22
8;107;23.44
8;206;76.24
10;453;44.73
10;494;72.09
11;59;2.42
11;367;3.68
11;272;12.02
11;317;20.93
11;245;98.91
12;177;68.05
13;383;87.52
14;80;78.68
15;216;24.01
15;397;29.27
15;293;46.70
16;252;48.87
17;472;33.05
17;395;49.21
18;387;8.53
18;296;18.27
18;157;32.29
18;192;41.84
19;461;51.00
20;82;40.08
20;459;52.33
20;251;95.12
21;498;11.90
22;164;6.09
23;85;35.67
24;424;16.51
24;455;21.51
24;200;41.02
25;440;7.48
25;54;28.32
26;171;68.57
27;184;28.44
27;130;97.95
28;405;23.30
28;85;48.85
28;50;79.82
29;293;13.54
30;301;24.30
30;468;26.36
30;193;51.28
31;321;81.19
32;342;6.45
33;87;4.77
33;425;35.72
34;39;44.11
35;444;45.75
35;162;53.36
36;85;42.17
38;77;27.05
38;344;32.67
38;42;48.00
39;147;35.86
39;34;44.11
39;442;84.69
40;46;68.12
40;422;71.39
41;144;7.91
41;147;22.95
42;38;48.00
43;255;37.21
44;325;5.50
45;146;5.23
45;181;40.26
45;488;52.99
46;40;68.12
46;73;87.35
47;224;35.29
48;327;57.18
49;297;6.16
50;187;36.61
50;28;79.82
51;479;80.91
53;263;7.14
53;98;14.62
53;154;34.74
53;144;40.89
53;117;77.91
54;265;23.16
54;25;28.32
55;228;17.93
55;298;25.59
55;288;30.80
56;470;31.38
57;402;14.81
58;283;80.92
59;11;2.42
59;475;40.43
59;132;69.43
60;295;98.87
61;480;10.19
61;348;28.14
62;458;83.45
63;222;2.42
63;211;21.35
63;299;42.46
64;314;21.04
64;263;23.12
64;499;52.84
65;396;28.64
65;119;54.14
66;309;28.99
67;464;47.39
68;243;52.90
69;199;55.24
69;282;62.76
70;175;22.33
71;483;39.94
71;410;70.70
72;382;19.91
72;231;47.24
73;46;87.35
74;420;22.88
74;413;55.72
74;182;80.52
75;259;11.34
75;115;12.21
75;467;30.35
76;91;31.50
77;218;11.03
77;38;27.05
77;171;33.69
77;493;73.69
79;332;51.13
80;197;24.18
80;138;71.93
80;14;78.68
81;283;67.26
82;368;21.82
82;20;40.08
82;348;48.49
83;127;10.27
83;108;29.51
83;338;78.38
84;202;42.41
85;189;3.96
85;465;30.75
85;23;35.67
85;36;42.17
85;28;48.85
85;458;49.22
86;324;12.26
87;33;4.77
87;148;14.85
88;193;80.16
89;336;46.45
89;142;53.28
91;134;1.19
91;76;31.50
91;300;42.40
92;294;39.67
92;124;51.12
93;324;10.18
93;335;21.92
94;254;2.71
94;172;21.41
95;466;24.93
95;108;35.45
96;328;43.65
96;375;43.99
96;136;45.54
97;439;34.67
98;53;14.62
99;224;30.79
99;474;87.02
100;365;38.75
100;140;43.71
100;280;49.96
101;389;44.69
102;267;11.02
102;171;12.62
102;180;13.89
103;476;27.82
103;1;51.94
104;124;43.95
105;483;4.71
106;286;17.75
107;212;11.13
107;152;17.16
107;373;20.00
107;8;23.44
107;202;24.32
107;223;28.40
108;184;11.44
108;83;29.51
108;95;35.45
108;352;38.94
109;165;7.54
109;382;8.94
110;265;50.43
110;434;95.26
111;447;89.93
113;180;53.21
114;217;68.61
115;310;5.36
115;75;12.21
115;358;28.70
115;192;36.64
116;194;48.48
117;53;77.91
118;287;89.89
119;162;50.95
119;65;54.14
120;221;6.25
120;212;28.96
120;388;31.62
121;375;23.79
121;454;35.71
122;294;8.31
122;432;35.92
122;439;43.65
122;204;77.69
123;146;53.16
124;104;43.95
124;92;51.12
125;223;42.09
126;235;13.19
126;310;27.41
127;83;10.27
128;186;63.51
129;297;6.78
130;27;97.95
131;268;4.57
131;418;64.05
132;430;63.91
132;59;69.43
133;351;29.22
134;91;1.19
134;431;16.73
135;445;10.55
135;7;22.62
136;269;26.17
136;96;45.54
137;307;26.64
138;270;11.77
138;284;30.14
138;80;71.93
139;193;4.12
139;391;23.54
140;327;39.05
140;100;43.71
141;397;44.04
141;191;74.94
142;313;1.20
142;174;7.47
142;89;53.28
144;41;7.91
144;266;16.01
144;53;40.89
144;312;58.02
146;45;5.23
146;445;12.56
146;123;53.16
147;41;22.95
147;39;35.86
148;330;11.81
148;87;14.85
148;162;19.22
149;461;41.15
150;329;45.08
151;462;4.41
151;414;55.36
152;488;15.18
152;210;16.40
152;107;17.16
153;345;73.74
154;487;1.13
154;53;34.74
155;171;26.37
155;421;32.56
155;452;38.61
156;0;53.76
157;18;32.29
158;398;47.63
158;469;51.32
159;337;13.44
160;189;19.00
160;360;38.49
161;449;27.53
162;470;5.98
162;148;19.22
162;405;26.89
162;265;46.41
162;119;50.95
162;35;53.36
163;288;16.25
163;283;59.27
164;22;6.09
164;309;91.39
165;109;7.54
165;203;57.91
165;479;75.77
166;452;20.16
167;352;32.22
168;231;32.17
168;223;45.56
168;489;63.03
170;261;11.58
170;249;20.88
171;102;12.62
171;260;14.42
171;155;26.37
171;77;33.69
171;26;68.57
172;432;6.99
172;94;21.41
173;227;2.88
173;292;18.07
174;359;6.39
174;142;7.47
175;291;15.92
175;70;22.33
175;181;48.22
176;499;51.99
177;320;49.65
177;454;60.04
177;12;68.05
178;372;77.25
179;224;13.52
180;102;13.89
180;113;53.21
181;261;5.23
181;45;40.26
181;295;42.77
181;175;48.22
182;74;80.52
183;270;45.24
183;332;57.74
184;108;11.44
184;416;16.18
184;27;28.44
185;341;23.00
185;356;26.66
185;252;75.93
