source;target;label
0;7;45.11
0;15;33.05
0;20;73.56
0;30;90.92
0;34;70.45
0;37;83.11
0;66;62.18
0;89;83.48
0;94;10.64
1;5;54.76
1;8;79.96
1;25;56.40
1;52;37.74
1;85;40.16
1;87;76.03
1;88;85.47
2;3;48.65
2;9;17.46
2;13;91.13
2;23;83.28
2;28;49.37
2;46;1.41
2;49;21.79
2;64;16.80
2;70;64.16
2;75;97.31
2;93;11.49
3;2;48.65
3;9;55.89
3;12;99.51
3;13;25.46
3;23;79.89
3;28;2.27
3;46;96.54
3;49;95.19
3;64;50.82
3;70;17.29
3;75;25.98
3;93;59.38
4;19;55.16
4;36;27.16
4;56;15.37
4;57;73.05
4;76;65.67
5;1;54.76
5;8;34.50
5;25;49.25
5;52;13.04
5;68;67.43
5;85;6.25
5;87;50.12
5;88;89.45
5;91;79.57
6;11;39.81
6;14;30.66
6;39;94.49
6;42;22.15
6;43;31.47
6;53;5.38
6;59;89.09
6;67;65.22
6;79;84.45
6;84;64.15
6;98;23.80
7;0;45.11
7;11;6.24
7;15;97.05
7;20;39.00
7;22;26.68
7;30;96.88
7;37;66.17
7;53;41.05
7;66;68.10
7;67;80.29
7;69;25.93
7;94;4.64
8;1;79.96
8;5;34.50
8;25;29.99
8;52;6.19
8;82;16.74
8;85;52.33
8;87;65.26
8;97;62.51
9;2;17.46
9;3;55.89
9;13;46.35
9;23;86.08
9;46;32.35
9;49;99.52
9;58;61.00
9;64;17.78
9;70;28.92
9;75;25.36
9;93;92.34
10;21;74.94
10;31;29.53
10;35;20.21
10;38;83.57
10;45;56.65
10;55;52.28
10;60;50.41
10;81;27.05
11;6;39.81
11;7;6.24
11;22;68.96
11;43;41.22
11;53;63.76
11;59;64.70
11;67;39.00
11;68;53.43
11;69;12.18
11;84;12.62
11;87;92.71
11;91;81.97
12;3;99.51
12;28;79.28
12;64;71.46
12;70;82.47
12;75;29.64
12;93;86.68
13;2;91.13
13;3;25.46
13;9;46.35
13;23;75.59
13;46;67.65
13;49;72.02
13;64;15.27
13;70;15.68
13;75;83.72
13;93;13.24
14;6;30.66
14;39;5.35
14;42;41.48
14;43;83.64
14;53;42.66
14;59;93.14
14;67;15.01
14;79;99.12
14;84;46.71
14;98;100.12
15;0;33.05
15;7;97.05
15;20;37.52
15;24;48.62
15;32;16.61
15;37;16.46
15;54;18.23
15;65;14.04
15;67;19.46
15;80;10.16
15;95;87.31
15;98;18.67
16;18;68.20
16;26;49.25
16;31;81.46
16;33;65.29
16;45;33.99
16;72;46.31
17;19;46.22
17;27;35.18
17;30;93.59
17;56;21.54
17;57;6.18
17;63;6.14
17;69;93.93
17;72;33.52
17;74;51.32
17;81;21.25
17;89;46.04
18;16;68.20
18;26;45.30
18;31;75.88
18;33;28.24
18;45;31.58
18;63;77.36
18;72;84.85
19;4;55.16
19;17;46.22
19;27;14.18
19;33;16.34
19;36;49.06
19;56;52.18
19;57;80.16
19;63;17.48
19;72;25.01
19;74;74.80
19;76;36.00
20;0;73.56
20;7;39.00
20;15;37.52
20;32;63.47
20;34;64.32
20;37;17.12
20;46;46.73
20;58;19.66
20;66;16.69
20;94;81.58
20;95;29.06
21;10;74.94
21;35;25.55
21;38;22.06
21;55;72.73
21;60;78.84
21;81;5.10
22;7;26.68
22;11;68.96
22;27;47.97
22;43;44.65
22;53;8.60
22;68;66.15
22;69;42.41
22;87;34.37
22;91;87.97
23;2;83.28
23;3;79.89
23;9;86.08
23;13;75.59
23;46;100.93
23;49;88.95
23;58;87.83
23;70;9.19
23;75;36.15
24;15;48.62
24;32;25.83
24;44;78.93
24;50;45.07
24;54;58.11
24;65;30.70
24;80;7.12
24;92;27.12
24;95;56.01
24;96;78.95
24;98;34.56
25;1;56.40
25;5;49.25
25;8;29.99
25;52;48.19
25;68;84.94
25;85;55.00
25;87;89.95
25;88;85.57
25;91;48.78
26;16;49.25
26;18;45.30
26;31;33.19
26;33;22.87
26;45;48.19
26;72;43.21
27;17;35.18
27;19;14.18
27;22;47.97
27;30;47.73
27;56;39.66
27;57;74.59
27;63;78.69
27;69;39.51
27;74;90.32
27;81;47.21
27;89;24.40
28;2;49.37
28;3;2.27
28;12;79.28
28;64;1.95
28;70;3.92
28;75;42.83
28;93;75.61
29;50;47.39
29;54;89.77
29;58;9.15
29;73;48.57
29;80;81.14
29;83;31.10
29;92;42.94
29;95;50.32
30;0;90.92
30;7;96.88
30;17;93.59
30;27;47.73
30;34;1.23
30;37;98.77
30;38;46.73
30;55;53.51
30;63;38.33
30;66;3.31
30;81;57.62
30;89;30.69
30;94;12.55
31;10;29.53
31;16;81.46
31;18;75.88
31;26;33.19
31;33;85.82
31;38;74.53
31;45;66.79
31;55;12.00
31;63;19.94
31;72;58.26
32;15;16.61
32;20;63.47
32;24;25.83
32;50;73.90
32;54;90.85
32;65;60.90
32;73;42.49
32;80;78.13
32;92;44.22
32;95;30.52
32;96;73.21
32;98;34.72
33;16;65.29
33;18;28.24
33;19;16.34
33;26;22.87
33;31;85.82
33;45;41.74
33;57;71.71
33;63;89.32
33;72;54.87
33;74;91.88
34;0;70.45
34;20;64.32
34;30;1.23
34;37;40.86
34;46;67.40
34;49;94.99
34;66;65.25
34;94;31.76
35;10;20.21
35;21;25.55
35;60;80.25
36;4;27.16
36;19;49.06
36;56;67.96
36;57;26.65
36;76;41.07
36;88;60.57
37;0;83.11
37;7;66.17
37;15;16.46
37;20;17.12
37;30;98.77
37;34;40.86
37;66;84.28
37;94;12.60
37;95;91.89
38;10;83.57
38;21;22.06
38;30;46.73
38;31;74.53
38;45;18.60
38;55;21.11
38;60;44.41
38;63;29.49
38;72;35.85
38;81;46.94
38;89;84.69
38;94;91.26
39;6;94.49
39;14;5.35
39;42;45.62
39;43;100.71
39;47;29.85
39;51;31.25
39;59;15.66
39;62;35.50
39;67;80.48
39;78;49.46
39;79;68.00
39;84;88.99
39;98;46.92
40;41;35.32
40;42;7.02
40;43;35.55
40;47;28.44
40;59;85.73
40;61;77.66
40;78;8.16
40;84;50.80
40;86;98.87
41;40;35.32
41;47;43.06
41;61;52.21
41;82;59.29
41;84;76.88
41;86;53.00
42;6;22.15
42;14;41.48
42;39;45.62
42;40;7.02
42;47;87.94
42;48;42.22
42;51;92.80
42;59;72.80
42;61;13.18
42;62;3.21
42;78;90.15
42;79;56.38
42;84;74.19
43;6;31.47
43;11;41.22
43;14;83.64
43;22;44.65
43;39;100.71
43;40;35.55
43;53;9.68
43;59;87.22
43;67;76.04
43;79;68.54
43;84;19.81
43;91;52.27
44;24;78.93
44;48;67.05
44;50;21.14
44;54;30.37
44;71;100.73
44;80;5.47
44;90;92.30
44;92;93.94
44;96;41.14
44;99;14.04
45;10;56.65
45;16;33.99
45;18;31.58
45;26;48.19
45;31;66.79
45;33;41.74
45;38;18.60
45;55;34.79
45;63;25.49
45;72;62.33
45;74;82.78
46;2;1.41
46;3;96.54
46;9;32.35
46;13;67.65
46;20;46.73
46;23;100.93
46;34;67.40
46;49;15.91
46;58;55.64
46;64;11.47
46;73;98.56
47;39;29.85
47;40;28.44
47;41;43.06
47;42;87.94
47;51;60.20
47;61;90.60
47;62;59.78
47;78;100.89
47;79;48.54
47;84;7.36
47;86;90.58
48;42;42.22
48;44;67.05
48;51;20.22
48;62;30.00
48;71;46.77
48;78;73.28
48;90;9.07
49;2;21.79
49;3;95.19
49;9;99.52
49;13;72.02
49;23;88.95
49;34;94.99
49;46;15.91
49;58;64.59
49;64;66.72
49;70;5.83
49;75;46.65
49;93;16.90
50;24;45.07
50;29;47.39
50;32;73.90
50;44;21.14
50;54;83.25
50;65;18.21
50;73;83.11
50;80;63.13
50;83;57.98
50;90;29.95
50;92;90.85
50;95;57.77
50;96;87.28
50;99;45.85
