source;target;label
0;94;10.64
1;52;37.74
2;9;17.46
2;93;11.49
2;46;1.41
3;28;2.27
4;56;15.37
5;52;13.04
5;85;6.25
6;53;5.38
7;11;6.24
7;94;4.64
8;97;62.51
8;25;29.99
8;82;16.74
8;52;6.19
9;2;17.46
10;35;20.21
11;84;12.62
11;69;12.18
11;7;6.24
12;75;29.64
13;93;13.24
14;67;15.01
14;39;5.35
15;67;19.46
15;98;18.67
15;32;16.61
15;37;16.46
15;65;14.04
15;80;10.16
16;45;33.99
17;56;21.54
17;57;6.18
17;63;6.14
18;33;28.24
19;72;25.01
19;63;17.48
19;33;16.34
19;27;14.18
20;46;46.73
20;58;19.66
20;66;16.69
21;35;25.55
21;81;5.10
22;53;8.60
23;70;9.19
24;80;7.12
25;8;29.99
26;33;22.87
27;19;14.18
28;70;3.92
28;3;2.27
28;64;1.95
29;58;9.15
30;94;12.55
30;66;3.31
30;34;1.23
31;63;19.94
31;55;12.00
32;15;16.61
33;18;28.24
33;26;22.87
33;19;16.34
34;30;1.23
35;21;25.55
35;10;20.21
36;57;26.65
37;15;16.46
37;94;12.60
38;55;21.11
38;45;18.60
39;59;15.66
39;14;5.35
40;41;35.32
40;78;8.16
40;42;7.02
41;40;35.32
42;61;13.18
42;40;7.02
42;62;3.21
43;84;19.81
43;53;9.68
44;96;41.14
44;99;14.04
44;80;5.47
45;16;33.99
45;38;18.60
46;20;46.73
46;64;11.47
46;2;1.41
47;84;7.36
48;51;20.22
48;90;9.07
49;70;5.83
50;65;18.21
51;48;20.22
51;62;7.27
52;1;37.74
52;5;13.04
52;8;6.19
53;43;9.68
53;22;8.60
53;6;5.38
54;92;1.59
55;60;29.28
55;38;21.11
55;31;12.00
55;89;1.53
56;76;29.70
56;17;21.54
56;4;15.37
57;36;26.65
57;17;6.18
58;20;19.66
58;29;9.15
59;39;15.66
60;55;29.28
61;86;34.10
61;42;13.18
62;51;7.27
62;42;3.21
63;74;36.78
63;31;19.94
63;19;17.48
63;17;6.14
64;46;11.47
64;28;1.95
65;50;18.21
65;15;14.04
65;92;6.68
66;20;16.69
66;30;3.31
67;15;19.46
67;14;15.01
67;79;5.18
68;87;9.44
69;11;12.18
69;91;6.84
70;23;9.19
70;49;5.83
70;28;3.92
71;99;1.03
72;19;25.01
73;95;4.56
74;63;36.78
75;12;29.64
75;93;23.41
76;88;54.31
76;56;29.70
77;82;13.24
78;40;8.16
79;67;5.18
80;15;10.16
80;24;7.12
80;44;5.47
81;89;6.27
81;21;5.10
82;86;21.63
82;8;16.74
82;77;13.24
83;92;26.12
84;43;19.81
84;11;12.62
84;47;7.36
85;5;6.25
86;61;34.10
86;82;21.63
87;68;9.44
87;91;8.68
88;76;54.31
89;94;12.99
89;81;6.27
89;55;1.53
90;48;9.07
90;92;2.52
91;87;8.68
91;69;6.84
92;83;26.12
92;65;6.68
92;90;2.52
92;54;1.59
93;75;23.41
93;13;13.24
93;2;11.49
94;89;12.99
94;37;12.60
94;30;12.55
94;0;10.64
94;7;4.64
95;98;8.81
95;73;4.56
96;44;41.14
97;8;62.51
98;15;18.67
98;95;8.81
99;44;14.04
99;71;1.03
