source;target;label
0;28;71.60
1;12;64.34
3;16;57.36
3;4;14.53
3;14;1.57
4;3;14.53
4;10;8.39
5;21;34.95
5;22;21.21
6;22;98.06
7;25;29.72
8;17;36.46
9;27;80.81
9;19;80.36
9;20;67.26
9;26;15.42
10;15;54.05
10;4;8.39
11;21;46.67
12;1;64.34
12;22;54.38
12;14;19.23
13;21;3.55
14;12;19.23
14;3;1.57
15;10;54.05
15;29;41.57
16;3;57.36
16;18;33.42
17;27;60.90
17;18;52.07
17;8;36.46
18;17;52.07
18;16;33.42
19;9;80.36
19;24;54.13
20;9;67.26
21;11;46.67
21;5;34.95
21;13;3.55
22;6;98.06
22;12;54.38
22;5;21.21
23;25;82.33
24;19;54.13
25;23;82.33
25;7;29.72
26;9;15.42
27;9;80.81
27;17;60.90
28;0;71.60
29;15;41.57
