source;target;label
0;90;1.61
0;58;2.25
1;6;2.60
1;32;5.64
2;59;2.37
2;23;3.03
2;72;3.61
2;33;3.71
3;55;2.57
3;56;1.04
4;38;3.21
4;67;2.61
4;94;3.47
5;55;4.67
5;85;1.32
5;7;1.90
6;58;1.86
6;1;2.60
6;53;7.63
7;5;1.90
8;17;1.12
9;71;1.06
10;48;3.42
10;16;1.78
11;42;3.27
11;48;3.02
12;67;4.14
13;65;1.67
14;58;3.20
14;93;7.81
15;44;2.05
15;45;4.10
16;10;1.78
16;20;2.02
16;61;3.19
16;62;3.38
17;80;4.97
17;8;1.12
18;92;1.70
19;84;7.78
20;16;2.02
21;35;1.35
21;73;2.02
21;34;4.91
21;51;5.66
21;29;6.69
22;55;1.25
22;25;6.10
23;2;3.03
24;55;2.32
24;66;4.52
25;22;6.10
26;83;3.71
26;87;2.69
27;86;3.40
28;35;1.28
29;21;6.69
30;36;4.38
31;35;3.82
32;1;5.64
32;96;1.11
32;63;4.17
33;2;3.71
34;21;4.91
35;90;2.84
35;28;1.28
35;21;1.35
35;59;1.36
35;78;2.26
35;41;3.23
35;31;3.82
36;67;2.11
36;71;1.28
36;47;2.26
36;30;4.38
37;55;3.11
37;42;4.67
38;80;1.78
38;4;3.21
39;45;1.82
39;70;3.30
40;58;7.34
41;35;3.23
42;37;4.67
42;11;3.27
43;62;3.44
44;73;3.71
44;15;2.05
45;15;4.10
45;95;1.34
45;39;1.82
45;50;8.80
46;67;1.58
47;36;2.26
47;54;2.87
48;11;3.02
48;10;3.42
48;98;3.96
48;88;7.26
49;72;2.03
50;45;8.80
51;21;5.66
52;78;5.06
53;6;7.63
54;47;2.87
55;77;2.58
55;22;1.25
55;24;2.32
55;3;2.57
55;37;3.11
55;5;4.67
56;3;1.04
57;82;10.64
58;0;2.25
58;6;1.86
58;14;3.20
58;77;3.81
58;40;7.34
59;35;1.36
59;2;2.37
59;84;3.99
60;87;2.55
61;16;3.19
62;16;3.38
62;43;3.44
63;32;4.17
64;87;3.03
65;86;2.43
65;13;1.67
66;24;4.52
67;4;2.61
67;46;1.58
67;36;2.11
67;69;3.04
67;12;4.14
68;91;5.29
69;67;3.04
69;91;2.42
70;39;3.30
71;36;1.28
71;9;1.06
72;2;3.61
72;49;2.03
73;21;2.02
73;75;3.46
73;44;3.71
74;95;6.33
75;73;3.46
76;99;6.82
77;58;3.81
77;89;2.06
77;92;2.55
77;55;2.58
78;35;2.26
78;52;5.06
79;85;1.80
80;87;2.70
80;38;1.78
80;17;4.97
80;99;5.36
81;90;5.10
81;82;1.35
82;81;1.35
82;57;10.64
83;90;1.07
83;97;1.68
83;26;3.71
84;59;3.99
84;19;7.78
85;5;1.32
85;79;1.80
86;87;1.30
86;65;2.43
86;27;3.40
87;26;2.69
87;86;1.30
87;60;2.55
87;80;2.70
87;64;3.03
88;48;7.26
89;77;2.06
90;0;1.61
90;83;1.07
90;35;2.84
90;81;5.10
91;69;2.42
91;68;5.29
92;77;2.55
92;18;1.70
93;14;7.81
94;4;3.47
95;45;1.34
95;74;6.33
96;32;1.11
97;83;1.68
98;48;3.96
99;80;5.36
99;76;6.82
