source;target;label
0;17;11.63
0;2;12.23
1;15;12.36
2;0;12.23
3;29;3.77
3;28;11.21
4;5;1.68
4;17;10.71
5;4;1.68
5;21;1.72
5;12;4.80
6;22;12.94
7;11;8.67
7;23;13.40
8;23;1.27
9;14;1.42
9;13;5.20
10;13;15.84
11;22;2.80
11;12;5.35
11;7;8.67
11;13;11.58
12;5;4.80
12;11;5.35
13;9;5.20
13;24;5.52
13;11;11.58
13;10;15.84
14;9;1.42
15;21;4.61
15;19;11.03
15;1;12.36
16;17;2.85
17;16;2.85
17;4;10.71
17;0;11.63
18;24;19.50
18;27;25.00
19;15;11.03
20;22;2.90
20;28;7.43
20;25;16.74
21;5;1.72
21;15;4.61
21;26;7.56
22;11;2.80
22;20;2.90
22;6;12.94
23;8;1.27
23;7;13.40
24;13;5.52
24;18;19.50
25;20;16.74
26;21;7.56
27;18;25.00
28;20;7.43
28;3;11.21
29;3;3.77
