source;target;weight
0;1;71.38
0;2;65.81
0;3;45.82
0;4;16.20
0;5;49.73
0;6;74.24
0;7;61.27
0;8;99.57
0;9;13.93
0;10;90.71
0;11;56.71
0;12;58.09
0;13;4.22
0;14;23.81
0;18;98.95
1;0;71.38
1;2;6.75
1;3;61.04
1;4;59.04
1;5;41.00
1;6;19.65
1;7;65.28
1;8;5.83
1;9;60.12
1;10;39.75
1;11;7.17
1;12;98.19
1;13;63.95
1;14;21.32
1;37;28.34
2;0;65.81
2;1;6.75
2;3;42.27
2;4;31.31
2;5;25.71
2;6;63.47
2;7;78.17
2;8;24.79
2;9;15.86
2;10;93.34
2;11;24.62
2;12;37.42
2;13;98.68
2;14;9.51
2;20;4.96
3;0;45.82
3;1;61.04
3;2;42.27
3;4;12.18
3;5;45.30
3;6;82.08
3;7;10.97
3;8;4.62
3;9;78.95
3;10;17.02
3;11;46.97
3;12;41.78
3;13;57.71
3;14;87.00
3;58;10.79
4;0;16.20
4;1;59.04
4;2;31.31
4;3;12.18
4;5;67.98
4;6;95.14
4;7;20.67
4;8;10.51
4;9;57.57
4;10;55.72
4;11;39.26
4;12;86.30
4;13;18.10
4;14;33.68
4;36;36.63
5;0;49.73
5;1;41.00
5;2;25.71
5;3;45.30
5;4;67.98
5;6;5.26
5;7;3.47
5;8;74.43
5;9;8.98
5;10;23.64
5;11;5.72
5;12;25.51
5;13;54.00
5;14;65.88
5;20;97.04
6;0;74.24
6;1;19.65
6;2;63.47
6;3;82.08
6;4;95.14
6;5;5.26
6;7;10.65
6;8;75.56
6;9;52.57
6;10;48.58
6;11;4.82
6;12;49.77
6;13;20.62
6;14;61.80
6;32;50.94
7;0;61.27
7;1;65.28
7;2;78.17
7;3;10.97
7;4;20.67
7;5;3.47
7;6;10.65
7;8;31.01
7;9;18.06
7;10;9.63
7;11;99.41
7;12;2.40
7;13;23.07
7;14;99.81
7;48;70.66
8;0;99.57
8;1;5.83
8;2;24.79
8;3;4.62
8;4;10.51
8;5;74.43
8;6;75.56
8;7;31.01
8;9;4.05
8;10;32.44
8;11;40.70
8;12;37.73
8;13;4.75
8;14;88.00
8;26;11.23
9;0;13.93
9;1;60.12
9;2;15.86
9;3;78.95
9;4;57.57
9;5;8.98
9;6;52.57
9;7;18.06
9;8;4.05
9;10;1.26
9;11;18.01
9;12;61.41
9;13;10.80
9;14;82.03
9;20;1.44
10;0;90.71
10;1;39.75
10;2;93.34
10;3;17.02
10;4;55.72
10;5;23.64
10;6;48.58
10;7;9.63
10;8;32.44
10;9;1.26
10;11;97.30
10;12;92.44
10;13;88.12
10;14;20.40
10;53;22.74
11;0;56.71
11;1;7.17
11;2;24.62
11;3;46.97
11;4;39.26
11;5;5.72
11;6;4.82
11;7;99.41
11;8;40.70
11;9;18.01
11;10;97.30
11;12;63.20
11;13;22.66
11;14;1.22
11;32;67.15
12;0;58.09
12;1;98.19
12;2;37.42
12;3;41.78
12;4;86.30
12;5;25.51
12;6;49.77
12;7;2.40
12;8;37.73
12;9;61.41
12;10;92.44
12;11;63.20
12;13;69.31
12;14;86.18
12;15;46.93
13;0;4.22
13;1;63.95
13;2;98.68
13;3;57.71
13;4;18.10
13;5;54.00
13;6;20.62
13;7;23.07
13;8;4.75
13;9;10.80
13;10;88.12
13;11;22.66
13;12;69.31
13;14;100.78
13;17;70.41
14;0;23.81
14;1;21.32
14;2;9.51
14;3;87.00
14;4;33.68
14;5;65.88
14;6;61.80
14;7;99.81
14;8;88.00
14;9;82.03
14;10;20.40
14;11;1.22
14;12;86.18
14;13;100.78
14;28;93.10
15;12;46.93
15;16;39.74
15;17;92.20
15;18;47.42
15;19;65.63
15;20;7.99
15;22;5.70
15;23;81.19
15;26;90.66
15;28;92.94
15;34;8.05
15;35;85.72
15;36;24.96
15;45;10.46
15;74;30.64
16;15;39.74
16;17;78.77
16;18;12.44
16;19;66.68
16;20;37.85
16;21;25.28
16;22;33.56
16;23;52.65
16;24;85.51
16;26;94.40
16;27;41.37
16;28;12.85
16;38;14.12
16;39;29.92
16;41;51.23
17;13;70.41
17;15;92.20
17;16;78.77
17;18;55.42
17;19;10.88
17;20;45.35
17;22;42.23
17;23;47.33
17;25;91.78
17;31;20.15
17;32;96.78
17;41;17.22
17;46;100.37
17;48;91.52
17;80;52.22
18;0;98.95
18;15;47.42
18;16;12.44
18;17;55.42
18;20;70.38
18;23;93.41
18;24;7.25
18;25;63.04
18;27;6.00
18;28;85.28
18;29;29.83
18;30;75.90
18;35;14.61
18;39;52.77
18;52;58.94
19;15;65.63
19;16;66.68
19;17;10.88
19;20;100.52
19;21;25.92
19;22;59.79
19;26;70.47
19;27;19.43
19;30;71.06
19;32;47.59
19;33;53.54
19;34;16.99
19;36;21.68
19;37;50.29
