source;target;weight
0;18;58.26
0;14;50.81
0;24;93.43
0;4;75.08
0;3;23.27
0;26;9.21
1;15;2.32
1;4;50.79
1;13;85.30
1;10;74.83
1;7;57.81
1;27;24.05
2;5;54.07
2;12;16.54
2;6;44.88
2;25;42.79
3;21;59.40
3;20;62.38
3;12;50.67
3;13;77.42
3;0;23.27
4;1;50.79
4;10;78.42
4;0;75.08
4;15;27.00
5;2;54.07
5;22;16.96
5;11;55.58
6;26;81.27
6;20;83.33
6;2;44.88
6;12;30.66
7;1;57.81
8;20;91.11
8;25;66.31
8;26;7.02
8;17;94.32
8;15;89.76
9;28;17.35
10;4;78.42
10;1;74.83
10;27;80.50
11;12;31.20
11;24;86.67
11;5;55.58
11;26;4.22
12;11;31.20
12;24;55.97
12;2;16.54
12;3;50.67
12;6;30.66
13;1;85.30
13;3;77.42
13;29;70.30
14;29;46.62
14;0;50.81
14;15;65.54
15;1;2.32
15;27;40.77
15;8;89.76
15;29;25.56
15;4;27.00
15;14;65.54
15;24;37.19
17;8;94.32
17;26;57.76
18;0;58.26
18;26;87.42
19;20;30.34
20;8;91.11
20;6;83.33
20;3;62.38
20;19;30.34
21;3;59.40
21;26;66.80
22;5;16.96
22;25;28.22
23;26;41.23
24;12;55.97
24;11;86.67
24;0;93.43
24;15;37.19
25;8;66.31
25;2;42.79
25;22;28.22
26;6;81.27
26;8;7.02
26;23;41.23
26;11;4.22
26;18;87.42
26;17;57.76
26;0;9.21
26;21;66.80
27;15;40.77
27;10;80.50
27;1;24.05
28;9;17.35
29;14;46.62
29;15;25.56
29;13;70.30
