source;target;weight
0;1;37.75
0;3;80.54
0;5;50.74
0;10;29.12
0;11;18.42
0;13;72.11
0;14;16.95
0;16;87.98
0;19;48.24
0;21;4.44
0;24;68.57
0;25;8.04
0;26;13.72
0;27;30.13
0;28;64.38
0;8;38.02
0;12;22.25
0;15;26.61
1;0;37.75
1;2;89.00
1;3;64.46
1;5;75.28
1;11;8.80
1;14;24.70
1;15;30.14
1;17;41.41
1;21;16.97
1;22;19.84
1;25;6.04
1;16;18.85
1;20;71.11
1;23;14.11
2;1;89.00
2;3;21.03
2;7;30.95
2;8;3.09
2;9;73.29
2;20;75.29
2;25;55.55
2;28;26.90
2;29;32.96
2;5;63.43
2;10;49.07
2;11;83.36
2;16;49.69
2;24;11.82
3;0;80.54
3;1;64.46
3;2;21.03
3;7;89.75
3;13;1.10
3;14;10.57
3;16;90.66
3;23;30.93
3;26;47.97
3;29;57.78
3;6;95.97
3;9;24.76
3;15;8.38
3;21;43.27
3;27;9.28
4;5;49.85
4;7;11.23
4;9;40.74
4;11;33.48
4;13;51.60
4;15;50.20
4;17;6.90
4;19;72.07
4;28;83.80
4;12;83.73
4;16;1.97
4;21;66.16
4;22;21.38
4;26;75.49
4;27;50.78
5;0;50.74
5;1;75.28
5;4;49.85
5;2;63.43
5;6;28.67
5;11;100.04
5;12;37.89
5;13;50.01
5;16;18.12
5;20;26.64
5;27;70.71
5;10;4.54
5;19;76.20
5;23;95.68
5;28;45.34
6;5;28.67
6;3;95.97
6;7;6.53
6;8;12.42
6;10;41.96
6;12;70.45
6;16;54.53
6;17;56.90
6;18;57.21
6;20;89.79
6;27;46.58
6;13;17.99
6;21;99.32
6;23;4.58
6;26;71.51
7;2;30.95
7;3;89.75
7;4;11.23
7;6;6.53
7;8;75.40
7;16;26.85
7;17;83.67
7;20;65.32
7;22;11.37
7;24;98.63
7;25;22.95
7;27;96.17
7;13;32.51
7;19;88.51
8;2;3.09
8;6;12.42
8;7;75.40
8;0;38.02
8;9;42.37
8;10;90.29
8;17;63.27
8;18;78.64
8;21;63.60
8;22;14.17
8;25;98.15
8;26;11.34
8;16;94.26
8;23;83.35
8;27;84.55
9;2;73.29
9;4;40.74
9;8;42.37
9;3;24.76
9;10;98.88
9;11;55.64
9;12;77.32
9;13;70.36
9;19;13.81
9;21;30.28
9;27;1.51
9;14;91.47
10;0;29.12
10;6;41.96
10;8;90.29
10;9;98.88
10;2;49.07
10;5;4.54
10;12;7.77
10;14;72.59
10;20;52.55
10;22;92.97
10;24;36.08
10;28;21.48
10;16;10.74
10;27;74.95
10;29;97.50
11;0;18.42
11;1;8.80
11;4;33.48
11;5;100.04
11;9;55.64
11;2;83.36
11;14;77.46
11;24;5.32
11;27;28.86
11;12;33.61
11;13;58.02
11;18;71.86
11;19;83.54
11;21;70.92
11;29;25.38
12;5;37.89
12;6;70.45
12;9;77.32
12;10;7.77
12;0;22.25
12;4;83.73
12;11;33.61
12;23;49.11
12;27;11.45
12;15;29.99
12;18;88.17
12;20;42.76
13;0;72.11
13;3;1.10
13;4;51.60
13;5;50.01
13;9;70.36
13;6;17.99
13;7;32.51
13;11;58.02
13;22;55.09
13;25;70.89
13;14;14.86
13;20;17.58
13;24;21.30
13;27;91.66
13;28;60.92
14;0;16.95
14;1;24.70
14;3;10.57
14;10;72.59
14;11;77.46
14;9;91.47
14;13;14.86
14;15;65.97
14;22;56.53
14;27;47.53
14;17;3.78
14;19;41.12
14;21;60.44
14;25;12.72
14;28;100.50
14;29;35.82
15;1;30.14
15;4;50.20
15;14;65.97
15;0;26.61
15;3;8.38
15;12;29.99
15;21;16.86
15;22;63.61
15;27;30.95
15;29;34.39
15;16;21.38
15;17;22.37
15;18;66.58
15;19;64.27
15;23;62.94
15;24;63.67
15;25;9.40
16;0;87.98
16;3;90.66
16;5;18.12
16;6;54.53
16;7;26.85
16;1;18.85
16;2;49.69
16;4;1.97
16;8;94.26
16;10;10.74
16;15;21.38
16;17;26.47
16;26;73.35
17;1;41.41
17;4;6.90
17;6;56.90
17;7;83.67
17;8;63.27
17;16;26.47
17;14;3.78
17;15;22.37
17;18;53.22
17;19;78.42
17;27;89.53
17;29;92.86
17;20;57.11
18;6;57.21
18;8;78.64
18;17;53.22
18;11;71.86
18;12;88.17
18;15;66.58
18;21;82.44
18;22;90.30
18;23;12.80
18;26;33.02
18;28;6.67
19;0;48.24
19;4;72.07
19;9;13.81
19;17;78.42
19;5;76.20
19;7;88.51
19;11;83.54
19;14;41.12
19;15;64.27
19;23;96.75
19;25;46.72
19;26;90.71
19;29;58.30
20;2;75.29
20;5;26.64
20;6;89.79
20;7;65.32
20;10;52.55
20;1;71.11
20;12;42.76
20;13;17.58
20;17;57.11
20;25;53.03
20;21;50.61
20;22;88.04
20;27;61.31
21;0;4.44
21;1;16.97
21;8;63.60
21;9;30.28
21;15;16.86
21;18;82.44
21;3;43.27
21;4;66.16
21;6;99.32
21;11;70.92
21;14;60.44
21;20;50.61
21;25;44.72
21;26;59.51
21;27;10.90
21;29;64.62
21;22;93.95
22;1;19.84
22;7;11.37
22;8;14.17
22;10;92.97
22;13;55.09
22;14;56.53
22;15;63.61
22;18;90.30
22;4;21.38
22;20;88.04
22;21;93.95
22;29;33.10
22;24;70.68
23;3;30.93
23;12;49.11
23;18;12.80
23;19;96.75
23;1;14.11
23;5;95.68
23;6;4.58
23;8;83.35
23;15;62.94
23;24;29.07
23;28;17.84
23;29;5.90
24;0;68.57
24;7;98.63
24;10;36.08
24;11;5.32
24;23;29.07
24;2;11.82
24;13;21.30
24;15;63.67
24;22;70.68
24;25;41.31
24;26;88.63
24;28;61.54
25;0;8.04
25;1;6.04
25;2;55.55
25;7;22.95
25;8;98.15
25;13;70.89
25;19;46.72
25;20;53.03
25;21;44.72
25;24;41.31
25;14;12.72
25;15;9.40
25;26;19.28
26;0;13.72
26;3;47.97
26;8;11.34
26;16;73.35
26;18;33.02
26;19;90.71
26;21;59.51
26;24;88.63
26;25;19.28
26;4;75.49
26;6;71.51
26;27;49.42
26;28;39.17
26;29;47.53
27;0;30.13
27;5;70.71
27;6;46.58
27;7;96.17
27;9;1.51
27;11;28.86
27;12;11.45
27;14;47.53
27;15;30.95
27;17;89.53
27;21;10.90
27;26;49.42
27;3;9.28
27;4;50.78
27;8;84.55
27;10;74.95
27;13;91.66
27;20;61.31
27;29;71.71
27;28;25.80
28;0;64.38
28;2;26.90
28;4;83.80
28;10;21.48
28;18;6.67
28;26;39.17
28;5;45.34
28;13;60.92
28;14;100.50
28;23;17.84
28;24;61.54
28;27;25.80
29;2;32.96
29;3;57.78
29;15;34.39
29;17;92.86
29;19;58.30
29;21;64.62
29;22;33.10
29;27;71.71
29;10;97.50
29;11;25.38
29;14;35.82
29;23;5.90
29;26;47.53
